strategy,formation_year,benchmark_cf,carbon_limit,realized_cf,n_assets,active_share_vs_benchmark,ex_ante_tracking_error_annualized,ex_post_tracking_error_vs_benchmark
Minimum-Variance 50% CF Reduction,2013,12.350903862695375,6.175451931347688,6.1754519313477605,477,,,
Minimum-Variance 50% CF Reduction,2014,431.12064900831643,215.56032450415822,215.56032450415805,493,,,
Minimum-Variance 50% CF Reduction,2015,73.8587401652501,36.92937008262505,36.92937008262505,509,,,
Minimum-Variance 50% CF Reduction,2016,402.89455763611414,201.44727881805707,201.44727881805713,515,,,
Minimum-Variance 50% CF Reduction,2017,250.27769987099876,125.13884993549938,125.13884993549937,529,,,
Minimum-Variance 50% CF Reduction,2018,135.71797812457586,67.85898906228793,67.85898906228796,549,,,
Minimum-Variance 50% CF Reduction,2019,19.585780230236697,9.792890115118349,9.792890115118306,574,,,
Minimum-Variance 50% CF Reduction,2020,23.689361025744933,11.844680512872467,11.844680512872486,593,,,
Minimum-Variance 50% CF Reduction,2021,15.143750337202045,7.571875168601022,7.571875168601031,599,,,
Minimum-Variance 50% CF Reduction,2022,30.671964795199788,15.335982397599894,15.335982397599853,592,,,
Minimum-Variance 50% CF Reduction,2023,97.982235753298,48.991117876649,48.99111787664904,572,,,
Minimum-Variance 50% CF Reduction,2024,44.01503553711643,22.007517768558216,22.00751776855817,563,,,
Value-Weighted 50% CF Reduction,2013,188.55602175031208,94.27801087515604,94.27801087515604,477,0.40689843799686115,0.0006216837091155464,0.020829106170816482
Value-Weighted 50% CF Reduction,2014,162.99528696893958,81.49764348446979,81.49764348446979,493,0.44756860807398613,0.0007092403646996255,0.020829106170816482
Value-Weighted 50% CF Reduction,2015,168.7911243810458,84.3955621905229,83.82261194942515,509,0.4359199281457571,0.0004845949913962484,0.020829106170816482
Value-Weighted 50% CF Reduction,2016,176.73586449454262,88.36793224727131,87.82436017519458,515,0.45190119180915295,0.0005056058141248387,0.020829106170816482
Value-Weighted 50% CF Reduction,2017,158.02671749366033,79.01335874683016,79.01335874683016,529,0.493532109869214,0.0004381902272634168,0.020829106170816482
Value-Weighted 50% CF Reduction,2018,122.92442176894679,61.46221088447339,61.46221088447338,549,0.5044469078391363,0.00047456939769093237,0.020829106170816482
Value-Weighted 50% CF Reduction,2019,130.4502780347849,65.22513901739245,65.20716869172573,574,0.4637061091167808,0.00039510725848815326,0.020829106170816482
Value-Weighted 50% CF Reduction,2020,106.56230922542858,53.28115461271429,53.28115461271429,593,0.4626908851339858,0.0005812610800611552,0.020829106170816482
Value-Weighted 50% CF Reduction,2021,100.14956575981243,50.074782879906216,49.94208091355897,599,0.47595916034515073,0.00044278568803245703,0.020829106170816482
Value-Weighted 50% CF Reduction,2022,83.72099609465695,41.86049804732848,41.860498047328484,592,0.4616340893082124,0.0003772144635080056,0.020829106170816482
Value-Weighted 50% CF Reduction,2023,80.88730821615943,40.44365410807971,40.44365410807971,572,0.40726405987332825,0.0004914271383784794,0.020829106170816482
Value-Weighted 50% CF Reduction,2024,74.32103989894856,37.16051994947428,37.16051994947427,563,0.40126576549352055,0.00041296709435982625,0.020829106170816482
Value-Weighted Net Zero,2013,188.55602175031208,169.70041957528088,148.229004532035,477,0.29470224666262357,0.000519560695289659,0.01938833452816836
Value-Weighted Net Zero,2014,162.99528696893958,152.7303776177528,142.39469935405577,493,0.23409852864372113,0.0004983272413346141,0.01938833452816836
Value-Weighted Net Zero,2015,168.7911243810458,137.45733985597752,136.4346664449991,509,0.44646132593105725,0.0005585760937365988,0.01938833452816836
Value-Weighted Net Zero,2016,176.73586449454262,123.71160587037976,123.71160587037974,515,0.4921072095798612,0.0004972350180665826,0.01938833452816836
Value-Weighted Net Zero,2017,158.02671749366033,111.3404452833418,110.63466314124129,529,0.5125049574164974,0.000408897506331381,0.01938833452816836
Value-Weighted Net Zero,2018,122.92442176894679,100.2064007550076,100.20640075500759,549,0.48903372978289406,0.0004448949168357383,0.01938833452816836
Value-Weighted Net Zero,2019,130.4502780347849,90.18576067950686,90.17816398091863,574,0.42875179373110595,0.00032082648201795156,0.01938833452816836
Value-Weighted Net Zero,2020,106.56230922542858,81.16718461155618,80.8133394853492,593,0.41285951262411213,0.0005143939224385439,0.01938833452816836
Value-Weighted Net Zero,2021,100.14956575981243,73.05046615040057,70.78366021963177,599,0.42433610865021965,0.00046304781588749186,0.01938833452816836
Value-Weighted Net Zero,2022,83.72099609465695,65.74541953536051,59.89818308711145,592,0.3968571455019367,0.0003959057154783168,0.01938833452816836
Value-Weighted Net Zero,2023,80.88730821615943,59.17087758182445,59.170877581824456,572,0.381399141433422,0.00046644618085297254,0.01938833452816836
Value-Weighted Net Zero,2024,74.32103989894856,53.253789823642016,53.25378982364201,563,0.3995425453713641,0.00043019196166195115,0.01938833452816836
