strategy,formation_year,wealth_musd,WACI,carbon_footprint,attributed_emissions_tonnes,n_assets_used,n_assets_dropped
Minimum-Variance,2013,1.0,26.436774601049933,12.350903862695375,12.350903862695375,280,0
Value-Weighted,2013,1.0,109.84695443277008,188.55602175031208,188.55602175031208,477,0
Minimum-Variance,2014,1.1345516704799414,70.4743858217359,431.12064900831643,489.12865251078193,280,0
Value-Weighted,2014,0.9533063744323474,102.90359514726958,162.99528696893958,155.38444606991985,493,0
Minimum-Variance,2015,1.2447326883719554,36.82010193180722,73.8587401652501,91.93438820565747,239,0
Value-Weighted,2015,0.93733185336506,123.87700194184471,168.7911243810458,158.21329744765802,509,0
Minimum-Variance,2016,1.114765608150297,73.4900338287185,402.89455763611414,449.1329965636677,297,0
Value-Weighted,2016,0.9313240950275758,119.72644067264056,176.73586449454262,164.59836905929618,515,0
Minimum-Variance,2017,1.148731310190832,169.1277044831472,250.27769987099876,287.5018300843602,275,0
Value-Weighted,2017,1.1738497280891906,135.3294956460484,158.02671749366033,185.49961936076053,529,0
Minimum-Variance,2018,1.0833566113891695,93.85040101661325,135.71797812457586,147.03096888562993,282,0
Value-Weighted,2018,1.0097668958481938,107.12576144718129,122.92442176894679,124.12501179356353,549,0
Minimum-Variance,2019,1.2520788320841456,24.271874493132096,19.585780230236697,24.52294083613151,347,0
Value-Weighted,2019,1.273948886794142,110.10848302952748,130.4502780347849,166.18698648440053,574,0
Minimum-Variance,2020,1.3486332022094165,52.913848440976054,23.689361025744933,31.948258818445336,307,0
Value-Weighted,2020,1.3390739314654974,107.4367872891689,106.56230922542858,142.69481036053668,593,0
Minimum-Variance,2021,1.4619852903834107,40.32977985838893,15.143750337202045,22.139940234228206,324,1
Value-Weighted,2021,1.5924954904300448,105.2416052909987,100.14956575981243,159.48773184102853,599,1
Minimum-Variance,2022,1.3297468827416066,28.555060775149116,30.671964795199788,40.78594957397722,283,0
Value-Weighted,2022,1.3506481554949898,81.8197067001769,83.72099609465695,113.07760895145167,592,0
Minimum-Variance,2023,1.2313733755321516,27.24704288438723,97.982235753298,120.65271638172564,305,1
Value-Weighted,2023,1.6193647253073709,58.76393094016816,80.88730821615943,130.98605365031364,572,4
Minimum-Variance,2024,1.3021276233385233,24.721422745256312,44.01503553711643,57.313193615106066,258,1
Value-Weighted,2024,1.6606443274378184,60.898841201610566,74.32103989894856,123.4208133174687,563,1
Minimum-Variance 50% CF Reduction,2013,1.0,13.208835863101108,6.1754519313477605,6.1754519313477605,21,0
Minimum-Variance 50% CF Reduction,2014,1.1404722493952653,41.091264787902475,215.56032450415805,245.84056816763044,20,0
Minimum-Variance 50% CF Reduction,2015,1.2670432667228864,25.329771266281835,36.92937008262505,46.79110970750767,21,0
Minimum-Variance 50% CF Reduction,2016,1.1290073507335507,46.058638023761794,201.44727881805713,227.4354585708576,22,0
Minimum-Variance 50% CF Reduction,2017,1.1606454190638933,91.97511060858783,125.13884993549937,145.24183292456132,22,0
Minimum-Variance 50% CF Reduction,2018,1.0889589305836314,49.722695673477084,67.85898906228796,73.89565215975543,29,0
Minimum-Variance 50% CF Reduction,2019,1.2600924186780025,17.109924489309243,9.792890115118306,12.339946591007328,27,0
Minimum-Variance 50% CF Reduction,2020,1.354596678614178,34.583950574927556,11.844680512872486,16.04476488198315,27,0
Minimum-Variance 50% CF Reduction,2021,1.4607730653283257,21.229738963060285,7.571875168601031,11.060791300320762,33,0
Minimum-Variance 50% CF Reduction,2022,1.3513323534262824,16.850234831298216,15.335982397599853,20.72400918545265,31,0
Minimum-Variance 50% CF Reduction,2023,1.2468150920020291,22.985486083466043,48.99111787664904,61.08286514265643,26,0
Minimum-Variance 50% CF Reduction,2024,1.3161647520140523,14.14065862300794,22.00751776855817,28.965519166299213,25,0
Value-Weighted 50% CF Reduction,2013,1.0,67.68546512791265,94.27801087515604,94.27801087515604,416,0
Value-Weighted 50% CF Reduction,2014,0.9603012287301715,63.32916633272549,81.49764348446979,78.2622871767498,431,0
Value-Weighted 50% CF Reduction,2015,0.9545226605534598,80.07939162722289,83.82261194942515,80.01058257250553,470,0
Value-Weighted 50% CF Reduction,2016,0.9402844897889606,68.9592512448771,87.82436017519458,82.57988369837476,440,0
Value-Weighted 50% CF Reduction,2017,1.1890749114688193,87.11689297036065,79.01335874683016,93.95280255674113,439,0
Value-Weighted 50% CF Reduction,2018,1.0395485001408118,62.52348571474259,61.46221088447338,63.89294914029258,428,0
Value-Weighted 50% CF Reduction,2019,1.331459359244908,59.19732276164158,65.20716869172573,86.82069504445977,504,0
Value-Weighted 50% CF Reduction,2020,1.364455146715149,46.55548398112394,53.28115461271429,72.69974563424361,517,0
Value-Weighted 50% CF Reduction,2021,1.5789074144220023,50.76963243314502,49.94208091355897,78.85392184608182,503,0
Value-Weighted 50% CF Reduction,2022,1.3499986537216038,43.865618102767655,41.860498047328484,56.51161600800928,468,0
Value-Weighted 50% CF Reduction,2023,1.5921519506429571,35.38030975382905,40.44365410807971,64.39244277930815,462,0
Value-Weighted 50% CF Reduction,2024,1.6216197370138312,33.693633991699585,37.16051994947427,60.260232587763696,458,0
Value-Weighted Net Zero,2013,1.0,85.48854453159906,148.229004532035,148.229004532035,411,0
Value-Weighted Net Zero,2014,0.9634513283800122,88.30718559341234,142.39469935405577,137.1903622469375,423,0
Value-Weighted Net Zero,2015,0.9552211233797036,109.61546027879447,136.4346664449991,130.32527534952717,392,0
Value-Weighted Net Zero,2016,0.9537754229107422,80.18977445967346,123.71160587037974,117.9930892079885,432,0
Value-Weighted Net Zero,2017,1.1889594507227592,120.05501268655415,110.63466314124129,131.54012831930774,440,0
Value-Weighted Net Zero,2018,1.0451181337768725,95.552964250223,100.20640075500759,104.72752654957092,410,0
Value-Weighted Net Zero,2019,1.3354930089911017,84.02704476916426,90.17816398091863,120.43230756017,510,0
Value-Weighted Net Zero,2020,1.364491842487116,76.99485065794968,80.8133394853492,110.26914249190094,513,0
Value-Weighted Net Zero,2021,1.586882764756375,84.19642142235075,70.78366021963177,112.3253704289051,518,0
Value-Weighted Net Zero,2022,1.3581070493904772,72.07575895703478,59.89818308711145,81.34814469628752,504,0
Value-Weighted Net Zero,2023,1.6236296921629025,46.198237953099984,59.170877581824456,96.07159375318643,482,0
Value-Weighted Net Zero,2024,1.6552865042825002,42.20507137154178,53.25378982364201,88.15027959697137,464,0
