formation_year,ISIN,NAME,weight,carbon_intensity,WACI_contribution
2024,CH0012214059,HOLCIM,0.0036557107115844294,2275.483783876986,8.318510442755766
2024,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.008092074025800838,498.5533089474212,4.034330281810488
2024,DE0006047004,HEIDELBERG MATERIALS,0.001439727142366863,2744.6547858972567,3.9515539916833915
2024,DE0007037129,RWE,0.0022502634022535614,1725.3581463416374,3.882510292492631
2024,IE0001827041,CRH PUBLIC LIMITED,0.004219678452831722,779.4033942100873,3.288831708612214
2024,GB00BP6MXD84,SHELL,0.016932919417390106,155.5466356127556,2.633858646476933
2024,IE00BYTBXV33,RYANAIR HOLDINGS,0.002032595591647154,1084.8820886320068,2.205126550810374
2024,GB0007188757,RIO TINTO,0.007143063647947179,308.0294829052568,2.2002742018365073
2024,IT0001347308,BUZZI,0.0005374514562627411,3728.57036877898,2.0039255744783686
2024,FR0000120271,TOTALENERGIES,0.012991736574330736,150.94093905636547,1.96098491850241
