formation_year,WACI,carbon_footprint,attributed_emissions_tonnes,n_assets_used
2013,109.84695443277008,188.55602175031208,188.55602175031208,477
2014,102.90359514726958,162.99528696893958,155.38444606991985,493
2015,123.87700194184471,168.7911243810458,158.21329744765802,509
2016,119.72644067264056,176.73586449454262,164.59836905929618,515
2017,135.3294956460484,158.02671749366033,185.49961936076053,529
2018,107.12576144718129,122.92442176894679,124.12501179356353,549
2019,110.10848302952748,130.4502780347849,166.18698648440053,574
2020,107.4367872891689,106.56230922542858,142.69481036053668,593
2021,105.2416052909987,100.14956575981243,159.48773184102853,599
2022,81.8197067001769,83.72099609465695,113.07760895145167,592
2023,58.76393094016816,80.88730821615943,130.98605365031364,572
2024,60.898841201610566,74.32103989894856,123.4208133174687,563
